id,value
id_000392,2744
id_000393,2751
id_000394,2758
id_000395,2765
id_000396,2772
id_000397,2779
id_000398,2786
id_000399,2793
id_000400,2800
id_000401,2807
id_000402,2814
id_000403,2821
id_000404,2828
id_000405,2835
id_000406,2842
id_000407,2849
id_000408,2856
id_000409,2863
id_000410,2870
id_000411,2877
id_000412,2884
id_000413,2891
id_000414,2898
id_000415,2905
id_000416,2912
id_000417,2919
id_000418,2926
id_000419,2933
id_000420,2940
id_000421,2947
id_000422,2954
id_000423,2961
id_000424,2968
id_000425,2975
id_000426,2982
id_000427,2989
id_000428,2996
id_000429,3003
id_000430,3010
id_000431,3017
id_000432,3024
id_000433,3031
id_000434,3038
id_000435,3045
id_000436,3052
id_000437,3059
id_000438,3066
id_000439,3073
id_000440,3080
id_000441,3087
id_000442,3094
id_000443,3101
id_000444,3108
id_000445,3115
id_000446,3122
id_000447,3129
id_000448,3136
id_000449,3143
id_000450,3150
id_000451,3157
id_000452,3164
id_000453,3171
id_000454,3178
id_000455,3185
id_000456,3192
id_000457,3199
id_000458,3206
id_000459,3213
id_000460,3220
id_000461,3227
id_000462,3234
id_000463,3241
id_000464,3248
id_000465,3255
id_000466,3262
id_000467,3269
id_000468,3276
id_000469,3283
id_000470,3290
id_000471,3297
id_000472,3304
id_000473,3311
id_000474,3318
id_000475,3325
id_000476,3332
id_000477,3339
id_000478,3346
id_000479,3353
id_000480,3360
id_000481,3367
id_000482,3374
id_000483,3381
id_000484,3388
id_000485,3395
id_000486,3402
id_000487,3409
id_000488,3416
id_000489,3423
id_000490,3430
id_000491,3437
id_000492,3444
id_000493,3451
id_000494,3458
id_000495,3465
id_000496,3472
id_000497,3479
id_000498,3486
id_000499,3493
id_000500,3500
id_000501,3507
id_000502,3514
id_000503,3521
id_000504,3528
id_000505,3535
id_000506,3542
id_000507,3549
id_000508,3556
id_000509,3563
id_000510,3570
id_000511,3577
id_000512,3584
id_000513,3591
id_000514,3598
id_000515,3605
id_000516,3612
id_000517,3619
id_000518,3626
id_000519,3633
id_000520,3640
id_000521,3647
id_000522,3654
id_000523,3661
id_000524,3668
id_000525,3675
id_000526,3682
id_000527,3689
id_000528,3696
id_000529,3703
id_000530,3710
id_000531,3717
id_000532,3724
id_000533,3731
id_000534,3738
id_000535,3745
id_000536,3752
id_000537,3759
id_000538,3766
id_000539,3773
id_000540,3780
id_000541,3787
id_000542,3794
id_000543,3801
id_000544,3808
id_000545,3815
id_000546,3822
id_000547,3829
id_000548,3836
id_000549,3843
id_000550,3850
id_000551,3857
id_000552,3864
id_000553,3871
id_000554,3878
id_000555,3885
id_000556,3892
id_000557,3899
id_000558,3906
id_000559,3913
id_000560,3920
id_000561,3927
id_000562,3934
id_000563,3941
id_000564,3948
id_000565,3955
id_000566,3962
id_000567,3969
id_000568,3976
id_000569,3983
id_000570,3990
id_000571,3997
id_000572,4004
id_000573,4011
id_000574,4018
id_000575,4025
id_000576,4032
id_000577,4039
id_000578,4046
id_000579,4053
id_000580,4060
id_000581,4067
id_000582,4074
id_000583,4081
id_000584,4088
id_000585,4095
id_000586,4102
id_000587,4109
id_000588,4116
id_000589,4123
id_000590,4130
id_000591,4137
id_000592,4144
id_000593,4151
id_000594,4158
id_000595,4165
id_000596,4172
id_000597,4179
id_000598,4186
id_000599,4193
id_000600,4200
id_000601,4207
id_000602,4214
id_000603,4221
id_000604,4228
id_000605,4235
id_000606,4242
id_000607,4249
id_000608,4256
id_000609,4263
id_000610,4270
id_000611,4277
id_000612,4284
id_000613,4291
id_000614,4298
id_000615,4305
id_000616,4312
id_000617,4319
id_000618,4326
id_000619,4333
id_000620,4340
id_000621,4347
id_000622,4354
id_000623,4361
id_000624,4368
id_000625,4375
id_000626,4382
id_000627,4389
id_000628,4396
id_000629,4403
id_000630,4410
id_000631,4417
id_000632,4424
id_000633,4431
id_000634,4438
id_000635,4445
id_000636,4452
id_000637,4459
id_000638,4466
id_000639,4473
id_000640,4480
id_000641,4487
id_000642,4494
id_000643,4501
id_000644,4508
id_000645,4515
id_000646,4522
id_000647,4529
id_000648,4536
id_000649,4543
id_000650,4550
id_000651,4557
id_000652,4564
id_000653,4571
id_000654,4578
id_000655,4585
id_000656,4592
id_000657,4599
id_000658,4606
id_000659,4613
id_000660,4620
id_000661,4627
id_000662,4634
id_000663,4641
id_000664,4648
id_000665,4655
id_000666,4662
id_000667,4669
id_000668,4676
id_000669,4683
id_000670,4690
id_000671,4697
id_000672,4704
id_000673,4711
id_000674,4718
id_000675,4725
id_000676,4732
id_000677,4739
id_000678,4746
id_000679,4753
id_000680,4760
id_000681,4767
id_000682,4774
id_000683,4781
id_000684,4788
id_000685,4795
id_000686,4802
id_000687,4809
id_000688,4816
id_000689,4823
id_000690,4830
id_000691,4837
id_000692,4844
id_000693,4851
id_000694,4858
id_000695,4865
id_000696,4872
id_000697,4879
id_000698,4886
id_000699,4893
id_000700,4900
id_000701,4907
id_000702,4914
id_000703,4921
id_000704,4928
id_000705,4935
id_000706,4942
id_000707,4949
id_000708,4956
id_000709,4963
id_000710,4970
id_000711,4977
id_000712,4984
id_000713,4991
id_000714,4998
id_000715,5005
id_000716,5012
id_000717,5019
id_000718,5026
id_000719,5033
id_000720,5040
id_000721,5047
id_000722,5054
id_000723,5061
id_000724,5068
id_000725,5075
id_000726,5082
id_000727,5089
id_000728,5096
id_000729,5103
id_000730,5110
id_000731,5117
id_000732,5124
id_000733,5131
id_000734,5138
id_000735,5145
id_000736,5152
id_000737,5159
id_000738,5166
id_000739,5173
id_000740,5180
id_000741,5187
id_000742,5194
id_000743,5201
id_000744,5208
id_000745,5215
id_000746,5222
id_000747,5229
id_000748,5236
id_000749,5243
id_000750,5250
id_000751,5257
id_000752,5264
id_000753,5271
id_000754,5278
id_000755,5285
id_000756,5292
id_000757,5299
id_000758,5306
id_000759,5313
id_000760,5320
id_000761,5327
id_000762,5334
id_000763,5341
id_000764,5348
id_000765,5355
id_000766,5362
id_000767,5369
id_000768,5376
id_000769,5383
id_000770,5390
id_000771,5397
id_000772,5404
id_000773,5411
id_000774,5418
id_000775,5425
id_000776,5432
id_000777,5439
id_000778,5446
id_000779,5453
id_000780,5460
id_000781,5467
id_000782,5474
id_000783,5481
id_000784,5488
id_000785,5495
id_000786,5502
id_000787,5509
id_000788,5516
id_000789,5523
id_000790,5530
id_000791,5537
id_000792,5544
id_000793,5551
id_000794,5558
id_000795,5565
id_000796,5572
id_000797,5579
id_000798,5586
id_000799,5593
id_000800,5600
id_000801,5607
id_000802,5614
id_000803,5621
id_000804,5628
id_000805,5635
id_000806,5642
id_000807,5649
id_000808,5656
id_000809,5663
id_000810,5670
id_000811,5677
id_000812,5684
id_000813,5691
id_000814,5698
id_000815,5705
id_000816,5712
id_000817,5719
id_000818,5726
id_000819,5733
id_000820,5740
id_000821,5747
id_000822,5754
id_000823,5761
id_000824,5768
id_000825,5775
id_000826,5782
id_000827,5789
id_000828,5796
id_000829,5803
id_000830,5810
id_000831,5817
id_000832,5824
id_000833,5831
id_000834,5838
id_000835,5845
id_000836,5852
id_000837,5859
id_000838,5866
id_000839,5873
id_000840,5880
id_000841,5887
id_000842,5894
id_000843,5901
id_000844,5908
id_000845,5915
id_000846,5922
id_000847,5929
id_000848,5936
id_000849,5943
id_000850,5950
id_000851,5957
id_000852,5964
id_000853,5971
id_000854,5978
id_000855,5985
id_000856,5992
id_000857,5999
id_000858,6006
id_000859,6013
id_000860,6020
id_000861,6027
id_000862,6034
id_000863,6041
id_000864,6048
id_000865,6055
id_000866,6062
id_000867,6069
id_000868,6076
id_000869,6083
id_000870,6090
id_000871,6097
id_000872,6104
id_000873,6111
id_000874,6118
id_000875,6125
id_000876,6132
id_000877,6139
id_000878,6146
id_000879,6153
id_000880,6160
id_000881,6167
id_000882,6174
id_000883,6181
id_000884,6188
id_000885,6195
id_000886,6202
id_000887,6209
id_000888,6216
id_000889,6223
id_000890,6230
id_000891,6237
id_000892,6244
id_000893,6251
id_000894,6258
id_000895,6265
id_000896,6272
id_000897,6279
id_000898,6286
id_000899,6293
id_000900,6300
id_000901,6307
id_000902,6314
id_000903,6321
id_000904,6328
id_000905,6335
id_000906,6342
id_000907,6349
id_000908,6356
id_000909,6363
id_000910,6370
id_000911,6377
id_000912,6384
id_000913,6391
id_000914,6398
id_000915,6405
id_000916,6412
id_000917,6419
id_000918,6426
id_000919,6433
id_000920,6440
id_000921,6447
id_000922,6454
id_000923,6461
id_000924,6468
id_000925,6475
id_000926,6482
id_000927,6489
id_000928,6496
id_000929,6503
id_000930,6510
id_000931,6517
id_000932,6524
id_000933,6531
id_000934,6538
id_000935,6545
id_000936,6552
id_000937,6559
id_000938,6566
id_000939,6573
id_000940,6580
id_000941,6587
id_000942,6594
id_000943,6601
id_000944,6608
id_000945,6615
id_000946,6622
id_000947,6629
id_000948,6636
id_000949,6643
id_000950,6650
id_000951,6657
id_000952,6664
id_000953,6671
id_000954,6678
id_000955,6685
id_000956,6692
id_000957,6699
id_000958,6706
id_000959,6713
id_000960,6720
id_000961,6727
id_000962,6734
id_000963,6741
id_000964,6748
id_000965,6755
id_000966,6762
id_000967,6769
id_000968,6776
id_000969,6783
id_000970,6790
id_000971,6797
id_000972,6804
id_000973,6811
id_000974,6818
id_000975,6825
id_000976,6832
id_000977,6839
id_000978,6846
id_000979,6853
id_000980,6860
id_000981,6867
id_000982,6874
id_000983,6881
id_000984,6888
id_000985,6895
id_000986,6902
id_000987,6909
id_000988,6916
id_000989,6923
id_000990,6930
id_000991,6937
id_000992,6944
id_000993,6951
id_000994,6958
id_000995,6965
id_000996,6972
id_000997,6979
id_000998,6986
id_000999,6993
